Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),Reflectance L*,Reflectance a*,Reflectance b*
372,U1517,C,1,H,1,2,0.02,33.2,-0.46,1.16
372,U1517,C,1,H,1,3,0.03,31.6,-0.2,1.07
372,U1517,C,1,H,1,4,0.04,19.38,-0.13,2.03
372,U1517,C,1,H,1,5,0.05,48.73,0.45,3.75
372,U1517,C,1,H,1,6,0.06,49.59,0.67,1.47
372,U1517,C,1,H,1,7,0.07,48.83,0.25,3.86
372,U1517,C,1,H,1,8,0.08,47.91,0.31,4.14
372,U1517,C,1,H,1,9,0.09,48.4,0.26,1.39
372,U1517,C,1,H,1,10,0.1,47.51,-0.02,3.21
372,U1517,C,1,H,1,11,0.11,46.36,0.26,4.2
372,U1517,C,1,H,1,12,0.12,46.29,0.05,3.25
372,U1517,C,1,H,1,13,0.13,46.1,0.06,2.71
372,U1517,C,1,H,1,14,0.14,46.84,0.13,2.84
372,U1517,C,1,H,1,15,0.15,46.16,0.04,2.57
372,U1517,C,1,H,1,16,0.16,48.33,0.3,3.94
372,U1517,C,1,H,1,17,0.17,46.81,0.19,3.11
372,U1517,C,1,H,1,18,0.18,44.9,-0.11,2.95
372,U1517,C,1,H,1,19,0.19,45.49,-0.05,3.45
372,U1517,C,1,H,1,20,0.2,45.17,-0.09,3.56
372,U1517,C,1,H,1,21,0.21,45.19,-0.09,3.62
372,U1517,C,1,H,1,22,0.22,45.29,0.04,3.51
372,U1517,C,1,H,1,23,0.23,44.84,-0.01,3.27
372,U1517,C,1,H,1,24,0.24,45.79,-0.01,2.87
372,U1517,C,1,H,1,25,0.25,44.68,-0.18,3.39
372,U1517,C,1,H,1,26,0.26,44.86,-0.11,3.69
372,U1517,C,1,H,1,27,0.27,44.48,-0.18,3.69
372,U1517,C,1,H,1,28,0.28,43.92,-0.08,3.69
372,U1517,C,1,H,1,29,0.29,44.05,-0.13,3.7
372,U1517,C,1,H,1,30,0.3,44.92,-0.15,3.42
372,U1517,C,1,H,1,31,0.31,45,-0.15,3.47
372,U1517,C,1,H,1,32,0.32,44.13,-0.28,3.42
372,U1517,C,1,H,1,33,0.33,44.4,-0.19,3.79
372,U1517,C,1,H,1,34,0.34,46.26,0.01,4.24
372,U1517,C,1,H,1,35,0.35,45.21,0.01,3.59
372,U1517,C,1,H,1,36,0.36,46.06,-0.06,2.62
372,U1517,C,1,H,1,37,0.37,45.95,-0.01,2
372,U1517,C,1,H,1,38,0.38,45.16,-0.19,3.07
372,U1517,C,1,H,1,39,0.39,44.46,-0.23,3.66
372,U1517,C,1,H,1,40,0.4,44.46,-0.27,3.47
372,U1517,C,1,H,1,41,0.41,44.14,-0.25,3.66
372,U1517,C,1,H,1,42,0.42,44.92,-0.03,3.87
372,U1517,C,1,H,1,43,0.43,43.78,-0.19,3.97
372,U1517,C,1,H,1,44,0.44,43.99,-0.11,3.77
372,U1517,C,1,H,1,45,0.45,44.06,-0.11,3.51
372,U1517,C,1,H,1,46,0.46,44.3,-0.03,3.96
372,U1517,C,1,H,1,47,0.47,44.65,-0.14,2.93
372,U1517,C,1,H,1,48,0.48,45.01,-0.09,2.41
372,U1517,C,1,H,1,49,0.49,43.97,-0.17,3.73
372,U1517,C,1,H,1,50,0.5,42.79,-0.16,3.86
372,U1517,C,1,H,1,51,0.51,41.96,-0.37,3.8
372,U1517,C,1,H,1,52,0.52,44.17,-0.09,4.11
372,U1517,C,1,H,1,53,0.53,45.16,0.02,2.39
372,U1517,C,1,H,1,54,0.54,43.18,-0.22,3.24
372,U1517,C,1,H,1,55,0.55,44.73,-0.15,3.31
372,U1517,C,1,H,1,56,0.56,44.74,-0.05,3.74
372,U1517,C,1,H,1,57,0.57,44.96,-0.03,3.27
372,U1517,C,1,H,1,58,0.58,44.95,0.1,3.37
372,U1517,C,1,H,1,59,0.59,44.38,0.06,2.62
372,U1517,C,1,H,1,60,0.6,45.02,-0.01,2.58
372,U1517,C,1,H,1,61,0.61,45.2,0,2.63
372,U1517,C,1,H,1,62,0.62,45.18,0.03,2.57
372,U1517,C,1,H,1,63,0.63,44.36,-0.18,3.85
372,U1517,C,1,H,1,64,0.64,44.19,-0.22,3.11
372,U1517,C,1,H,1,65,0.65,44.32,-0.17,3.36
372,U1517,C,1,H,1,66,0.66,44.57,-0.19,3.54
372,U1517,C,1,H,1,67,0.67,43.56,-0.26,3.36
372,U1517,C,1,H,1,68,0.68,43.9,-0.25,3.42
372,U1517,C,1,H,1,69,0.69,44.8,-0.18,3.33
372,U1517,C,1,H,1,70,0.7,44.33,-0.2,2.48
372,U1517,C,1,H,1,71,0.71,43.61,-0.13,3.84
372,U1517,C,1,H,1,72,0.72,44.05,-0.23,3.44
372,U1517,C,1,H,1,73,0.73,43.79,-0.25,3.64
372,U1517,C,1,H,1,74,0.74,44.66,-0.19,3.54
